模型,RMSE,MAE,MAPE,R²
ARIMA,53.511825,43.368275,34.578115,-0.326915
DNN,9.839349,6.268781,5.245073,0.955138
CNN,11.362501,8.774603,8.916044,0.940174
Vanilla LSTM,7.996234,6.502223,6.293308,0.970371
