实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.186105,0.153035,3.6015,0.527108,0.269767
No Technical Indicators,9,0.195218,0.154663,3.576845,0.533133,0.304933
No Market Index,12,0.187493,0.130093,2.959227,0.53012,0.309735
No Return Features,11,0.167383,0.121491,2.802468,0.436747,0.448378
Only Price Features,5,0.203105,0.135597,3.077361,0.48494,0.391459
