模型,RMSE,MAE,MAPE,R²
ARIMA,0.814742,0.646799,11.407578,-0.794094
DNN,0.293325,0.219707,4.246236,0.767457
CNN,1.09176,0.98954,18.798428,-2.221513
Vanilla LSTM,0.21706,0.173377,3.209599,0.87266
