模型,RMSE,MAE,MAPE,R²
ARIMA,36.712901,30.110243,10.553967,-0.710986
DNN,13.468069,9.798354,3.560753,0.769739
CNN,32.059783,26.011854,9.615169,-0.304759
Vanilla LSTM,10.699159,8.192083,2.959676,0.854686
