实验名称,特征数量,RMSE,MAE,MAPE,Accuracy,F1-score
Full Features,14,0.624627,0.578111,7.728871,0.521084,0.012422
No Technical Indicators,9,0.578485,0.529915,7.085142,0.521084,0.012422
No Market Index,12,0.51833,0.472212,6.318634,0.521084,0.036364
No Return Features,11,0.61537,0.56582,7.564059,0.518072,0.02439
Only Price Features,5,0.351813,0.295143,3.949154,0.524096,0.131868
