模型,RMSE,MAE,MAPE,R²
ARIMA,3.311345,2.826896,12.932546,-2.680589
DNN,2.953967,2.875031,13.755574,-1.929003
CNN,2.56766,2.495972,11.926894,-1.213011
Vanilla LSTM,0.479976,0.409509,1.932984,0.92267
