模型,RMSE,MAE,MAPE,R²
ARIMA,1.397202,1.269259,13.021218,-0.570205
DNN,0.620667,0.457138,4.202024,0.690147
CNN,0.622862,0.544036,5.457944,0.687951
Vanilla LSTM,0.484216,0.417879,4.117815,0.811411
