实验名称,特征数量,RMSE,MAE,MAPE,R²
Full Features,14,0.378736,0.306412,2.82673,0.55591
No Technical Indicators,9,0.280593,0.217195,1.996622,0.756247
No Market Index,12,0.259978,0.218121,1.949405,0.790747
No Return Features,11,0.424053,0.346222,3.202274,0.443279
Only Price Features,5,0.271219,0.224498,2.008213,0.772261
