模型,RMSE,MAE,MAPE,R²
ARIMA,0.814742,0.646799,11.407578,-0.794094
DNN,1.724288,1.610196,29.621766,-7.03573
CNN,0.466727,0.359833,6.46848,0.41125
Vanilla LSTM,0.205851,0.15525,2.88385,0.885472
